score,text,tone_id,tone_name,url
0.82,"Deutsche Bank's Christian Sewing announces humiliating retreat 
picture alliance via Getty Images
The fundamental lesson from Deutsche Banks failed expansion efforts is that you must think through where to play and how to win at the same time. Its the same … [+8359 chars]",analytical,Analytical,https://www.forbes.com/sites/georgebradt/2019/07/08/lessons-for-the-rest-of-us-from-the-deutsche-bank-retreat/
0.75,"The hunt for yield is making parts of the U.S. corporate bond market look a lot like 2007.
The highest-yielding corporate debt, also referred to sometimes as junk due to the borrowers greater chance of default typically rewards investors comparatively more t… [+3466 chars]",analytical,Analytical,https://www.marketwatch.com/story/yield-gap-between-risky-corporate-debt-and-investment-grade-sinks-to-12-year-low-2019-07-08
0.71,"This is an OZY Special Briefing, an extension of the Presidential Daily Brief. The Special Briefing tells you what you need to know about an important issue, individual or story that is making news. Each one serves up an interesting selection of facts, opinio… [+4611 chars]",joy,Joy,https://www.ozy.com/need-to-know/special-briefing-deutsche-banks-loss-the-global-economys-gain/95435
0.76,"Technology has been used to manage regulatory risk since the advent of the ledger book (or the Bloomberg terminal, depending on your reference point). However, the cost-consciousness internalized by banks during the 2008 financial crisis combined with more ro… [+1755 chars]",analytical,Analytical,http://techcrunch.com/2019/07/08/the-startups-creating-the-future-of-regtech-and-financial-services/
0.64,"Most
of the public was outraged when, during the financial crisis of 2008, Congress provided
a massive financial bailout, including $70 billion of taxpayers money to insurance
giant AIG and $80 billion to U.S. automakers General Motors, Chrysler, and
Ford… [+4230 chars]",tentative,Tentative,https://www.dailysignal.com/2019/07/09/senate-resolution-cautions-against-federal-bailout-of-fiscally-irresponsible-states/
0.61,"David Karp/AP
<ul><li>A probability model used by the New York Fed to calculate the odds of a recession in the next 12 months just hit 32%, the highest level since 2009.</li><li>A reading above 30% has preceded all recent recessions.</li><li>Read more on Mar… [+2369 chars]",tentative,Tentative,https://markets.businessinsider.com/news/stocks/next-recession-forecast-new-york-fed-model-highest-since-2009-2019-7-1028338398
0.77,"After the 2008 financial crisis, economic policymakers in the United States did enough to avert another Great Depression, but fell far short of what was needed to ensure a strong recovery. Attributing that failure to the malign influence of the plutocracy is … [+6771 chars]",sadness,Sadness,https://www.project-syndicate.org/commentary/krugman-plutocracy-economic-policy-by-j-bradford-delong-2019-07
0.59,"The first few gatherings of the G20, at the height of the global financial crisis, yielded concrete results, and seemed to promise an auspicious future for global governance. But in the years since, the group has increasingly replaced action with empty talk, … [+5416 chars]",sadness,Sadness,https://www.project-syndicate.org/commentary/does-the-g20-still-matter-by-jim-o-neill-2019-07
0.64,"The Bank of Canada and the U.S. Federal Reserve have taken different paths over the past year and a half, with the Fed raising rates more aggressively than its Canadian counterpart.
That period is now over. Interest rates in the two countries are likely to m… [+3766 chars]",tentative,Tentative,https://www.theglobeandmail.com/investing/markets/inside-the-market/article-canadian-us-interest-rates-likely-to-converge-by-years-end/
0.82,"Bianca, a flight attendant living in Denver, has flown relatively quickly into financial independence, but shes not ready to give up her job and she thinks many people misunderstand that about the FIRE movement. 
Shes always been frugal, but it wasnt until a… [+4162 chars]",analytical,Analytical,https://www.marketwatch.com/story/this-flight-attendant-has-enough-money-saved-to-retire-at-44-but-she-wants-to-keep-working-2019-07-10
0.97,"BOSTON Wondering why the Federal Reserve is going to cut interest rates, even in a boom?
Two words: Debt zombies.
Its not just zombie corporations that need cheap and easy money these days just to stay upright. Its also zombie individuals. Millions of them.… [+3584 chars]",tentative,Tentative,https://www.marketwatch.com/story/the-fed-is-trapped-by-the-debt-zombie-apocalypse-2019-07-12
0.69,"Veteran bond-fund manager Dan Fuss says investors should remain prepared for a potential escalation of tit-for-tat tariffs between U.S. and China even as they restart trade negotiations.
Fuss, an investor with 60 years of market experience, manages the $11 b… [+5823 chars]",tentative,Tentative,https://www.marketwatch.com/story/bond-legend-dan-fuss-says-tariff-hikes-will-put-leveraged-debt-markets-through-the-wringer-2019-07-12
0.82,"Michelle Bond knows some of the most complicated legal reforms inside and out, sideways and top-down. And now she's bringing her expertise to Silicon Valley to help the tech industry repair its relationship with Washington. 
 Bond joined Ripple Labs, the blo… [+2999 chars]",tentative,Tentative,https://www.businessinsider.com/michelle-bond-ripple-sec-dodd-frank-2019-7
0.61,"Let me start with what might seem like a trivial question, but which is, I believe, crucial: What does it take to build a successful career as a mainstream economist?
The truth is that its not at all easy. Parroting orthodox views definitely wont do it; you … [+1794 chars]",joy,Joy,https://www.nytimes.com/2019/07/13/opinion/goldbugs-for-trump.html
0.72,"JPMorgan Chase CEO Jamie Dimon is looking to further expand the bank, saying he wants to ""do one more big one before I'm done,"" according to Bloomberg. The news comes after the bank acquired healthcare payments company InstaMed for $500 million in May. 
Busi… [+2961 chars]",analytical,Analytical,https://www.businessinsider.com/jamie-dimon-jpmorgan-chase-ceo-looking-for-acquisition-2019-7
0.83,"NEW YORK (Project Syndicate) There is a good reason why every civilized country in the world tightly regulates its financial system. The 2008 global financial crisis, after all, was largely the result of rolling back financial regulation. 
Crooks, criminals,… [+6386 chars]",confident,Confident,https://www.marketwatch.com/story/crypto-is-an-unregulated-casino-where-criminality-runs-riot-2019-07-16
0.8,"This article was written by Frank J. Infurna, Associate Professor of Psychology, Arizona State University, and originally appeared on The Conversation, a not-for-profit news site dedicated to unlocking ideas and knowledge from academic experts.
The way my mo… [+6415 chars]",analytical,Analytical,https://www.fool.com/investing/2019/07/15/the-real-midlife-crisis-confronting-many-americans.aspx
0.64,"<ul><li> Why Is Inflation Low Globally? - FRBSF A hot economy eventually boosts inflation. Such is the simple wisdom of the Phillips curve. Yet inflation across developed countries has been remarkably weak since the 2008 global financial crisis, even though u… [+9778 chars]",confident,Confident,https://economistsview.typepad.com/economistsview/2019/07/links-71519.html?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+EconomistsView+%28Economist%27s+View%29
0.71,"Wall Street contributions helped Senate Majority Leader Mitch McConnell raise $3 million last quarter. But just 9 percent of his donations came from individual donors in his home state of Kentucky.
The biggest blocks of contributions to McConnell’s campaign … [+3201 chars]",tentative,Tentative,https://www.salon.com/2019/07/17/mitch-mcconnells-big-donors-are-wall-street-firms-and-only-9-of-his-funds-comes-from-kentucky/
0.91,"Some conservative national-security practitioners gathered recently to find common ground on the future. The meeting wasn’t, as described in The Washington Post, flooded with regretful signatories of various anti-Trump letters, recanting in the hopes of caree… [+6181 chars]",analytical,Analytical,https://www.theatlantic.com/ideas/archive/2019/07/gop-needs-millennial-voters/594034/
0.66,"Sen. Elizabeth Warrenhas unleashed a torrent of policy papers since formally launching her 2020 campaign in February. | Charles Krupa/AP Photo
Elizabeth Warren whose criticisms of big banks powered her decade-long political ascent from law professor and cons… [+3911 chars]",confident,Confident,https://www.politico.com/story/2019/07/18/elizabeth-warren-wall-street-2020-1421826
0.5,"After years of stability, Britain is facing property price mayhem. Prices are starting to seriously wobble in some parts of the country, but storming ahead in others.
Just this week, official figures revealed that in London, once the darling of the housing m… [+10617 chars]",joy,Joy,https://www.dailymail.co.uk/news/article-7262709/We-examine-happen-value-property-UKs-rollercoaster-market.html
0.77,"ZURICH, Switzerland (Project Syndicate) In recent years, central banks have made a large policy wager. They bet that the protracted use of unconventional and experimental measures would provide an effective bridge to more comprehensive measures that would gen… [+6750 chars]",analytical,Analytical,https://www.marketwatch.com/story/are-central-banks-losing-their-big-bet-2019-07-19
0.79,"EDITOR'S NOTE: This video was originally published on July 20, 2017 when Sen. John McCain was first diagnosed with cancer. He passed away on August 25, 2018.",sadness,Sadness,https://www.businessinsider.com/john-mccain-brain-cancer-diagnosis-defended-barack-obama-good-man-2008-election2017-7
0.83,"How many nations have already embraced socialisms promise of paradise but instead experienced the effects of socialisms disastrous reality?
CNNs Venezuela: How a rich country collapsed details how Venezuela, considered the richest country in Latin America, i… [+5318 chars]",analytical,Analytical,https://thehill.com/opinion/finance/453913-has-socialism-already-failed-in-the-united-states
0.68,"The way my mom imagined it, midlife was going to be great: counting down days until retirement, spending winters in Florida and checking off destinations on her bucket list. But it hasnt turned out that way.
Instead of more time spent in Florida, shes still … [+6232 chars]",joy,Joy,https://qz.com/1670694/the-midlife-crisis-is-getting-worse/
0.56,"AbstractSpreadsheets are one of the most widely used programming environments, with roughly 1 billion users of Microsoft Excel alone. Unfortunately, spreadsheets make it all too easy to make errors that go unnoticed. These errors can have catastrophic consequ… [+3362 chars]",sadness,Sadness,https://www.youtube.com/watch?v=GyWKxFxyyrQ
0.66,Elizabeth Warren has seen a lot of good ideas for preventing the next economic downturn — her own. | Rhona Wise/AFP/Getty Images Warren has a plan to prevent the next economic crash: electing her. Elizabeth Warren is kicking off the week with an unsettling pr… [+5603 chars],tentative,Tentative,https://www.vox.com/2019/7/22/20703557/elizabeth-warren-policies-economic-crash-prediction-medium
0.78,"<ul><li>Share to facebook</li><li>Share to twitter</li><li>Share to linkedin</li></ul>
The U.S. public was up in arms a decade ago with the financial industry. As the economic crisis of 2008 unfolded, it became clear that the then current financial regulatio… [+6131 chars]",confident,Confident,https://www.forbes.com/sites/franksorrentino/2019/07/22/how-quickly-we-forget-financial-regulations-continue-to-fall-behind-the-times/
0.58,"Warning lights are flashing. Whether its this year or next year, the odds of another economic downturn are high and growing. Congress and regulators should act immediately to tamp down these threats before its too late.
Sen. Elizabeth Warren
Sen. Elizabeth … [+3614 chars]",fear,Fear,https://www.marketwatch.com/story/sen-elizabeth-warren-says-warning-light-are-flashing-cautions-that-odds-of-another-economic-downturn-are-high-2019-07-22
0.54,"This article was first published by MyWallSt.
Every day, hundreds of ""financial gurus"" claim that the next recession is right around the corner. While the vast majority of these claims will prove false, it's a simple fact that one will eventually be right.
… [+4151 chars]",sadness,Sadness,https://www.invest.mywallst.com/post/2-recession-ready-stocks
0.95,"President Donald Trump is no stranger to bankruptcy. Though Trump himself has never declared bankruptcy, the businessman-turned-politician has declared bankruptcy on quite a few of his numerous companies. 
 Trump's Taj Mahal casino in Atlantic City declared … [+1015 chars]",analytical,Analytical,https://www.businessinsider.com/rich-billionaires-who-declared-bankruptcy-2019-7
0.71,"Sen.Elizabeth Warren has touted plenty of awful plans in her bid for the presidency, attempting to marry expansive and socializing economic policies with the nationalist rhetoric that clinched the Electoral College for President Trump. But while her hodgepodg… [+3258 chars]",tentative,Tentative,https://www.washingtonexaminer.com/opinion/elizabeth-warren-is-not-wrong-about-our-impending-economic-crisis-its-just-her-solutions-that-miss-the-mark
0.7,"On Monday morning Elizabeth Warren, the 2020 candidate known for her policy-dense Medium posts detailing her extensive plans, released yet another policy-dense Medium post. This one, however, didnt delve into housing or child care but instead offered a dark p… [+2454 chars]",tentative,Tentative,https://www.vice.com/en_us/article/5977bd/the-next-recession-could-arrive-before-the-end-of-trumps-term-says-elizabeth-warren
0.58,"I warned about an economic crash years before the 2008 crisis, but the people in power wouldnt listen. Now Im seeing serious warning signs in the economy again and Im calling on regulators and Congress to act before another crisis costs Americas families thei… [+8176 chars]",fear,Fear,https://medium.com/@teamwarren/the-coming-economic-crash-and-how-to-stop-it-355703da148b
0.65,"Sen. Elizabeth Warren (D-Mass.) warned on Monday that an economic downturn similar to the 2008 crash is coming soon, but not without saying she has a plan to prevent it.
Warning lights are flashing, Warren said in a Medium post. Whether its this year or next… [+2448 chars]",tentative,Tentative,https://www.huffpost.com/entry/elizabeth-warren-predicts-economic-downturn_n_5d350f45e4b0419fd32eb4a9
0.65,"Sen. Elizabeth Warren (D-Mass.) warned on Monday that an economic downturn similar to the 2008 crash is coming soon, but not without saying she has a plan to prevent it.
Warning lights are flashing, Warren said in a Medium post. Whether its this year or next… [+10027 chars]",tentative,Tentative,https://www.aol.com/article/finance/2019/07/22/elizabeth-warren-predicts-another-economic-downturn/23775375/
0.89,"At her rally Lawrence, Massachusetts, the Democratic senator officially announced her bid for president and promised not to take any money from super PAC's or lobbyists during her campaign.
 USA TODAY
Sen. Elizabeth Warren said Monday that ""warning lights a… [+4936 chars]",tentative,Tentative,https://www.usatoday.com/story/news/politics/elections/2019/07/22/recession-elizabeth-warren-warns-odds-economic-downturn-high/1792537001/?utm_source=google&utm_medium=amp&utm_campaign=speakable
0.9,"India is a thriving nation with a population estimated at around 1.37 billion people, so it's little wonder that its economy is one of the largest on the planet. 
 Currently, India has the seventh largest economy based on GDP, but it is poised to move up the… [+602 chars]",tentative,Tentative,https://www.businessinsider.com/india-economy-facts-gdp-agriculture-2019-7
0.72,"DETROIT AutoNation Inc, the largest U.S. auto dealership chain, on Monday named a new chief executive four months after picking someone else for the position, while posting a stronger-than-expected quarterly profit.
Cheryl Miller, who was AutoNation's chief … [+2160 chars]",tentative,Tentative,https://www.autoblog.comhttps://www.autoblog.com/2019/07/23/autonation-ceo/
0.78,"The Mazda RX-8 is a rotary-powered sports car that was produced from 2003 to 2012. It is now past 2012, which makes me wonder why Mazda is testing an RX-8 on the Nürburgring like its 2008.
The RX-8 you see in YouTuber Carspotter Jeroens video is the refreshe… [+1092 chars]",tentative,Tentative,https://jalopnik.com/what-year-is-this-2008-1836670128
0.68,"Its the absolute best economy the United States has seen in decades, and yet, you wouldnt know it from looking at the employee rolls at major news and media outlets. Thousands of journalists have lost their jobs this year through restructurings and layoffs wh… [+6731 chars]",sadness,Sadness,http://techcrunch.com/2019/07/24/why-do-media-companies-struggle-to-produce-anything-of-value/
0.7,"The regular alliance meeting for Renault, Nissan and Mitsubishi Motors Corp will be the first attended by Senard since he replaced Carlos Ghosn. (Reuters/Christian Hartmann)
Nissan Motor Co unveiled its biggest restructuring plan in a decade, axing nearly a … [+3250 chars]",tentative,Tentative,https://indianexpress.com/article/business/companies/nissan-to-cut-12500-jobs-as-crisis-deepens-after-profit-wipe-out/
0.52,"The major market benchmarks are still knocking on the door of their all-time highs, but that doesn't mean that all stocks are expensive. In the financial sector, some Fool.com contributors believe the exact opposite is true. We asked three of our writers to s… [+4884 chars]",anger,Anger,https://www.fool.com/investing/2019/07/25/3-top-financial-stocks-to-buy-right-now.aspx
0.5,"Money Doesnt Deserve the Bad Rap Its GettingMore of it wont necessarily make you happier day-to-day, but it does raise life satisfaction. Bloomberg, July 22, 2019Money gets a bad rap. In the current environment, amid levels of inequality not seen since the 19… [+5451 chars]",joy,Joy,https://ritholtz.com/2019/07/a-modest-defense-of-money-materialism/
0.57,"Last year Justin was on the brink of a major life decision: Where should he work after graduation? He had two great offers. The first was a government job in his hometown, a 10-minute bike ride from his apartment. It wouldnt pay much, but hed have time to spe… [+7583 chars]",joy,Joy,https://hbr.org/2019/07/are-new-graduates-happier-making-more-money-or-having-more-time
0.6,"Democratic presidential candidate Julián Castro introduced a policy proposal aimed at boosting the strength and sovereignty of Native American communities on Thursday.
His People First Indigenous Communities platform seeks to address some of the major dispar… [+3436 chars]",joy,Joy,https://www.huffpost.com/entry/julian-castro-indigenous-people-native-american_n_5d3a0eebe4b0a6d6373d1987
0.68,It would have been unthinkable even a few years ago to have high-yield/speculative/junk bonds being sold for negative yields. But thats exactly whats happening now. The Wall Street Journal recently issued an oxymoron alert that high-yield bonds had gone negat… [+12397 chars],tentative,Tentative,https://www.moneycontrol.com/news/business/economy/recession-in-2019-another-2008-like-crisis-both-economic-and-sociopolitical-4249891.html
